sentence,score,datasetName
So there is no way for me to plug it in here in the US unless I go by a converter.,0,amazon_cells_labelled
"Good case, Excellent value.",1,amazon_cells_labelled
Great for the jawbone.,1,amazon_cells_labelled
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,amazon_cells_labelled
The mic is great.,1,amazon_cells_labelled
I have to jiggle the plug to get it to line up right to get decent volume.,0,amazon_cells_labelled
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,amazon_cells_labelled
If you are Razr owner...you must have this!,1,amazon_cells_labelled
"Needless to say, I wasted my money.",0,amazon_cells_labelled
What a waste of money and time!.,0,amazon_cells_labelled
And the sound quality is great.,1,amazon_cells_labelled
He was very impressed when going from the original battery to the extended battery.,1,amazon_cells_labelled
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amazon_cells_labelled
Very good quality though,1,amazon_cells_labelled
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,amazon_cells_labelled
Highly recommend for any one who has a blue tooth phone.,1,amazon_cells_labelled
I advise EVERYONE DO NOT BE FOOLED!,0,amazon_cells_labelled
So Far So Good!.,1,amazon_cells_labelled
Works great!.,1,amazon_cells_labelled
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,amazon_cells_labelled
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,amazon_cells_labelled
I bought this to use with my Kindle Fire and absolutely loved it!,1,amazon_cells_labelled
The commercials are the most misleading.,0,amazon_cells_labelled
I have yet to run this new battery below two bars and that's three days without charging.,1,amazon_cells_labelled
I bought it for my mother and she had a problem with the battery.,0,amazon_cells_labelled
Great Pocket PC / phone combination.,1,amazon_cells_labelled
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,amazon_cells_labelled
I didn't think that the instructions provided were helpful to me.,0,amazon_cells_labelled
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,amazon_cells_labelled
Doesn't hold charge.,0,amazon_cells_labelled
"This is a simple little phone to use, but the breakage is unacceptible.",0,amazon_cells_labelled
This product is ideal for people like me whose ears are very sensitive.,1,amazon_cells_labelled
It is unusable in a moving car at freeway speed.,0,amazon_cells_labelled
I have two more years left in this contract and I hate this phone.,0,amazon_cells_labelled
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amazon_cells_labelled
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amazon_cells_labelled
It has kept up very well.,1,amazon_cells_labelled
Poor Talk Time Performance.,0,amazon_cells_labelled
The case is great and works fine with the 680.,1,amazon_cells_labelled
worthless product.,0,amazon_cells_labelled
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,amazon_cells_labelled
I was not impressed by this product.,0,amazon_cells_labelled
Nice headset priced right.,1,amazon_cells_labelled
I only hear garbage for audio.,0,amazon_cells_labelled
Excellent bluetooth headset.,1,amazon_cells_labelled
It has all the features I want,1,amazon_cells_labelled
Who in their right mind is gonna buy this battery?.,0,amazon_cells_labelled
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amazon_cells_labelled
This case seems well made.,1,amazon_cells_labelled
Disappointed with battery.,0,amazon_cells_labelled
Not loud enough and doesn't turn on like it should.,0,amazon_cells_labelled
good protection and does not make phone too bulky.,1,amazon_cells_labelled
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amazon_cells_labelled
This phone is pretty sturdy and I've never had any large problems with it.,1,amazon_cells_labelled
I love this thing!,1,amazon_cells_labelled
Everything about it is fine and reasonable for the price i.e.,1,amazon_cells_labelled
VERY DISAPPOINTED.,0,amazon_cells_labelled
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,amazon_cells_labelled
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,amazon_cells_labelled
The buttons for on and off are bad.,0,amazon_cells_labelled
Essentially you can forget Microsoft's tech support.,0,amazon_cells_labelled
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amazon_cells_labelled
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,amazon_cells_labelled
Buy a different phone - but not this.,0,amazon_cells_labelled
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,amazon_cells_labelled
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,amazon_cells_labelled
"A week later after I activated it, it suddenly died.",0,amazon_cells_labelled
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,amazon_cells_labelled
Great for iPODs too.,1,amazon_cells_labelled
This device is great in several situations:1.),1,amazon_cells_labelled
Mic Doesn't work.,0,amazon_cells_labelled
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amazon_cells_labelled
Great choice!,1,amazon_cells_labelled
Nice docking station for home or work.,1,amazon_cells_labelled
This is a beautiful phone.,1,amazon_cells_labelled
Love this product.,1,amazon_cells_labelled
Do Not Buy for D807...wrongly advertised for D807.,0,amazon_cells_labelled
This is a great little item.,1,amazon_cells_labelled
"I love this phone , It is very handy and has a lot of features .",1,amazon_cells_labelled
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amazon_cells_labelled
I wear it everyday and it holds up very well.,1,amazon_cells_labelled
Not a good bargain.,0,amazon_cells_labelled
"Well packaged, arrived on time, and works as intended.",1,amazon_cells_labelled
The battery runs down quickly.,0,amazon_cells_labelled
"This item worked great, but it broke after 6 months of use.",0,amazon_cells_labelled
The headsets are easy to use and everyone loves them.,1,amazon_cells_labelled
This phone works great.,1,amazon_cells_labelled
The construction of the headsets is poor.,0,amazon_cells_labelled
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amazon_cells_labelled
The phone loads super!,1,amazon_cells_labelled
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,amazon_cells_labelled
Made very sturdy.,1,amazon_cells_labelled
Worked great!.,1,amazon_cells_labelled
The ear buds only play music in one ear.,0,amazon_cells_labelled
Dont waste your money...,0,amazon_cells_labelled
Will order from them again!,1,amazon_cells_labelled
If you plan to use this in a car forget about it.,0,amazon_cells_labelled
I found this product to be waaay too big.,0,amazon_cells_labelled
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,amazon_cells_labelled
I'm very disappointed with my decision.,0,amazon_cells_labelled
Integrated seamlessly with the Motorola RAZR phone.,1,amazon_cells_labelled
"Buyer Beware, you could flush money right down the toilet.",0,amazon_cells_labelled
Definitely a bargain.,1,amazon_cells_labelled
The price was very good and with the free shipping and all it was a good purchase.,1,amazon_cells_labelled
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,amazon_cells_labelled
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amazon_cells_labelled
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,amazon_cells_labelled
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,amazon_cells_labelled
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,amazon_cells_labelled
I purcashed this for the car charger and it does not work.,0,amazon_cells_labelled
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,amazon_cells_labelled
This phone is slim and light and the display is beautiful.,1,amazon_cells_labelled
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,amazon_cells_labelled
"Great product, fast shipping!.",1,amazon_cells_labelled
Absolutely great.,1,amazon_cells_labelled
